Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Tổng chi phí bảo hiểm,Tổng chi phí thuốc,Tổng chi phí thuốc BHYT
02/07/2025,75,Đồng Nai,25993,Phường Trảng Dài,9127670.0,0.0,0.0
02/07/2025,75,Đồng Nai,25996,Phường Tân Phong,113965441.54,0.0,0.0
02/07/2025,75,Đồng Nai,26002,Phường Hố Nai,7805076.0,0.0,0.0
02/07/2025,75,Đồng Nai,26017,Phường Tam Hiệp,17377401.0,0.0,0.0
02/07/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,0.0
02/07/2025,75,Đồng Nai,26050,Phường An Bình,10409850.0,0.0,0.0
02/07/2025,75,Đồng Nai,26056,Phường Long Bình Tân,919712164.0,0.0,0.0
02/07/2025,75,Đồng Nai,26068,Phường Hóa An,77536462.0,0.0,0.0
02/07/2025,75,Đồng Nai,26095,Phường Suối Tre,691111603.6,0.0,0.0
02/07/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,164371458.0,0.0,0.0
02/07/2025,75,Đồng Nai,26188,Xã Thạnh Phú,2851200.0,0.0,0.0
02/07/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,737953523.6,0.0,0.0
02/07/2025,75,Đồng Nai,26272,Xã Hố Nai 3,368135478.0,0.0,0.0
02/07/2025,75,Đồng Nai,26275,Xã Tây Hoà,38709696.0,0.0,0.0
02/07/2025,75,Đồng Nai,26296,Xã An Viễn,38692740.0,0.0,0.0
02/07/2025,75,Đồng Nai,26299,Xã Gia Tân 1,15190457.0,0.0,0.0
02/07/2025,75,Đồng Nai,26311,Xã Quang Trung,46522148.0,0.0,0.0
02/07/2025,75,Đồng Nai,26317,Xã Hưng Lộc,29579974.0,0.0,0.0
02/07/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,31761702.0,0.0,0.0
02/07/2025,75,Đồng Nai,26362,Xã Sông Ray,43188176.0,0.0,0.0
02/07/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,270046197.2,0.0,0.0
02/07/2025,75,Đồng Nai,26374,Phường Tam Phước,13406595.0,0.0,0.0
02/07/2025,75,Đồng Nai,26377,Phường Phước Tân,47223904.0,0.0,0.0
02/07/2025,75,Đồng Nai,26416,Xã Phước Bình,24037000.0,0.0,0.0
02/07/2025,75,Đồng Nai,26452,Xã Suối Cát,269099568.6,0.0,0.0
02/07/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,89468046.0,0.0,0.0
02/07/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,10680874.0,0.0,0.0
02/08/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
02/08/2025,75,Đồng Nai,25993,Phường Trảng Dài,3093300.0,0.0,0.0
02/08/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,0.0
02/08/2025,75,Đồng Nai,26017,Phường Tam Hiệp,16001330.0,0.0,0.0
02/08/2025,75,Đồng Nai,26029,Phường Thống Nhất,87128772.94,0.0,0.0
