Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Số ca chuyển tuyến,Số ca vượt tuyến,Lượt điều trị,Lượt tái khám,Lượt KCB BHYT,Số ca mắc mới
02/05/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,22.0,0.0,22.0,22.0
02/05/2025,75,Đồng Nai,26188,Xã Thạnh Phú,0.0,0.0,58.0,0.0,58.0,58.0
02/05/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,66.0,0.0,66.0,66.0
02/05/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,236.0,0.0,236.0,236.0
02/05/2025,75,Đồng Nai,26275,Xã Tây Hoà,0.0,0.0,121.0,0.0,121.0,121.0
02/05/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,93.0,0.0,93.0,93.0
02/05/2025,75,Đồng Nai,26362,Xã Sông Ray,3.0,0.0,118.0,0.0,118.0,118.0
02/05/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,88.0,0.0,88.0,88.0
02/05/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,6.0,0.0,6.0,6.0
02/05/2025,75,Đồng Nai,26383,Xã An Phước,0.0,0.0,3.0,0.0,3.0,3.0
02/05/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,7.0,0.0,7.0,7.0
02/05/2025,75,Đồng Nai,26440,Xã Xuân Trường,0.0,0.0,91.0,0.0,91.0,91.0
02/05/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,19.0,20.0,19.0,19.0
02/05/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,0.0,0.0,4.0,0.0,2.0,4.0
02/05/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,0.0,0.0,128.0,0.0,128.0,128.0
02/06/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,0.0,67.0,0.0,0.0
