Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Lượt khám chữa bệnh
03/07/2025,75,Đồng Nai,26068,Phường Hóa An,239
03/07/2025,75,Đồng Nai,26095,Phường Suối Tre,1152
03/07/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,422
03/07/2025,75,Đồng Nai,26188,Xã Thạnh Phú,3
03/07/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,559
03/07/2025,75,Đồng Nai,26272,Xã Hố Nai 3,963
03/07/2025,75,Đồng Nai,26275,Xã Tây Hoà,3
03/07/2025,75,Đồng Nai,26296,Xã An Viễn,81
03/07/2025,75,Đồng Nai,26299,Xã Gia Tân 1,111
03/07/2025,75,Đồng Nai,26311,Xã Quang Trung,160
03/07/2025,75,Đồng Nai,26317,Xã Hưng Lộc,81
03/07/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,22
03/07/2025,75,Đồng Nai,26362,Xã Sông Ray,119
03/07/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,560
03/07/2025,75,Đồng Nai,26374,Phường Tam Phước,87
03/07/2025,75,Đồng Nai,26377,Phường Phước Tân,26
03/07/2025,75,Đồng Nai,26416,Xã Phước Bình,71
03/07/2025,75,Đồng Nai,26452,Xã Suối Cát,343
03/07/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,369
03/07/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,66
03/08/2025,75,Đồng Nai,25996,Phường Tân Phong,269
03/08/2025,75,Đồng Nai,26029,Phường Thống Nhất,233
03/08/2025,75,Đồng Nai,26050,Phường An Bình,5
03/08/2025,75,Đồng Nai,26056,Phường Long Bình Tân,523
03/08/2025,75,Đồng Nai,26095,Phường Suối Tre,768
03/08/2025,75,Đồng Nai,26188,Xã Thạnh Phú,155
03/08/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,115
03/08/2025,75,Đồng Nai,26272,Xã Hố Nai 3,367
03/08/2025,75,Đồng Nai,26296,Xã An Viễn,54
03/08/2025,75,Đồng Nai,26311,Xã Quang Trung,118
03/08/2025,75,Đồng Nai,26317,Xã Hưng Lộc,15
03/08/2025,75,Đồng Nai,26362,Xã Sông Ray,32
03/08/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,55
03/09/2025,75,Đồng Nai,25993,Phường Trảng Dài,141
03/09/2025,75,Đồng Nai,25996,Phường Tân Phong,434
03/09/2025,75,Đồng Nai,26017,Phường Tam Hiệp,149
03/09/2025,75,Đồng Nai,26029,Phường Thống Nhất,123
03/09/2025,75,Đồng Nai,26050,Phường An Bình,119
03/09/2025,75,Đồng Nai,26056,Phường Long Bình Tân,1108
03/09/2025,75,Đồng Nai,26095,Phường Suối Tre,1665
03/09/2025,75,Đồng Nai,26188,Xã Thạnh Phú,264
03/09/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,670
03/09/2025,75,Đồng Nai,26272,Xã Hố Nai 3,962
03/09/2025,75,Đồng Nai,26296,Xã An Viễn,226
03/09/2025,75,Đồng Nai,26311,Xã Quang Trung,228
03/09/2025,75,Đồng Nai,26362,Xã Sông Ray,230
03/09/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,682
03/09/2025,75,Đồng Nai,26389,Xã Long Đức,82
03/09/2025,75,Đồng Nai,26416,Xã Phước Bình,147
03/09/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,459
03/09/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,113
04/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,10
04/01/2025,75,Đồng Nai,26452,Xã Suối Cát,50
04/02/2025,75,Đồng Nai,25993,Phường Trảng Dài,5
04/02/2025,75,Đồng Nai,26026,Phường Tân Mai,330
04/02/2025,75,Đồng Nai,26029,Phường Thống Nhất,1
04/02/2025,75,Đồng Nai,26080,Phường Xuân An,3
04/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,100
04/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,516
04/02/2025,75,Đồng Nai,26452,Xã Suối Cát,638
04/03/2025,75,Đồng Nai,25996,Phường Tân Phong,5
04/03/2025,75,Đồng Nai,26026,Phường Tân Mai,16
04/03/2025,75,Đồng Nai,26080,Phường Xuân An,2
04/03/2025,75,Đồng Nai,26095,Phường Suối Tre,1
04/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,457
04/03/2025,75,Đồng Nai,26272,Xã Hố Nai 3,1
04/03/2025,75,Đồng Nai,26452,Xã Suối Cát,590
